Network: mnist-bpga-cnn
Input, shape:[28,28], parameters: 0, memory:3.1 KB
Conv2D(ReLU), shape:[24,24,6] (k:5,s:1,pad:no), parameters:150, memory:14.7 KB
Maxpool2D shape:[12,12,6] (k:2,s:2), parameters:0, memory:3.4 KB
Conv2D(ReLU), shape:[8,8,16] (k:5,s:1,pad:no), parameters:2400, memory:22.8 KB
Maxpool2D shape:[4,4,16] (k:2,s:2), parameters:0, memory:1.0 KB
Conv2D(ReLU), shape:[1,120] (k:4,s:1,pad:no), parameters:30720, memory:240.5 KB
Dense(ReLU), shape:[84], parameters:10164, memory:79.4 KB
31 epochs, accuracy: training=0.99906, validation=0.9905, test=0.9891
32 epochs, accuracy: training=0.9992, validation=0.989, test=0.9896
33 epochs, accuracy: training=0.9998, validation=0.9907, test=0.9905
34 epochs, accuracy: training=0.99956, validation=0.9903, test=0.9909
35 epochs, accuracy: training=0.99938, validation=0.9903, test=0.9905
36 epochs, accuracy: training=0.99664, validation=0.9874, test=0.9885
37 epochs, accuracy: training=0.99816, validation=0.9907, test=0.9909
38 epochs, accuracy: training=0.99958, validation=0.9909, test=0.9901
39 epochs, accuracy: training=0.99908, validation=0.9893, test=0.9905
40 epochs, accuracy: training=0.99976, validation=0.9901, test=0.9899
41 epochs, accuracy: training=0.99996, validation=0.9914, test=0.9917
42 epochs, accuracy: training=1, validation=0.9916, test=0.9919
43 epochs, accuracy: training=1, validation=0.9919, test=0.9915
44 epochs, accuracy: training=1, validation=0.9918, test=0.9915
45 epochs, accuracy: training=1, validation=0.9919, test=0.9914
46 epochs, accuracy: training=1, validation=0.9919, test=0.9915
47 epochs, accuracy: training=1, validation=0.9919, test=0.9914
48 epochs, accuracy: training=1, validation=0.9919, test=0.9915
49 epochs, accuracy: training=1, validation=0.9918, test=0.9915
50 epochs, accuracy: training=1, validation=0.9917, test=0.9915
51 epochs, accuracy: training=1, validation=0.9918, test=0.9915
52 epochs, accuracy: training=1, validation=0.9919, test=0.9916
53 epochs, accuracy: training=1, validation=0.9919, test=0.9916
54 epochs, accuracy: training=1, validation=0.9919, test=0.9916
55 epochs, accuracy: training=1, validation=0.992, test=0.9916
56 epochs, accuracy: training=1, validation=0.992, test=0.9916
57 epochs, accuracy: training=1, validation=0.992, test=0.9916
58 epochs, accuracy: training=1, validation=0.992, test=0.9916
59 epochs, accuracy: training=1, validation=0.992, test=0.9916
60 epochs, accuracy: training=1, validation=0.992, test=0.9916
61 epochs, accuracy: training=1, validation=0.992, test=0.9916
62 epochs, accuracy: training=1, validation=0.992, test=0.9916
63 epochs, accuracy: training=1, validation=0.992, test=0.9916
64 epochs, accuracy: training=1, validation=0.992, test=0.9916
65 epochs, accuracy: training=1, validation=0.992, test=0.9916
66 epochs, accuracy: training=1, validation=0.992, test=0.9916
67 epochs, accuracy: training=1, validation=0.992, test=0.9918
68 epochs, accuracy: training=1, validation=0.9921, test=0.9918
69 epochs, accuracy: training=1, validation=0.9921, test=0.9918
70 epochs, accuracy: training=1, validation=0.9921, test=0.9918
71 epochs, accuracy: training=1, validation=0.9921, test=0.9918
72 epochs, accuracy: training=1, validation=0.9921, test=0.9918
73 epochs, accuracy: training=1, validation=0.9921, test=0.9919
74 epochs, accuracy: training=1, validation=0.9921, test=0.9919
75 epochs, accuracy: training=1, validation=0.9921, test=0.9919
76 epochs, accuracy: training=1, validation=0.9921, test=0.9918
77 epochs, accuracy: training=1, validation=0.9921, test=0.9918
78 epochs, accuracy: training=1, validation=0.9921, test=0.9918
79 epochs, accuracy: training=1, validation=0.9921, test=0.9918
80 epochs, accuracy: training=1, validation=0.9921, test=0.9918
Total values needed to encode all trainable parameters: 44284

